workload	opcode	origin	visit	types	memory	action	type_idx	new_type	count	share_percent
TOTAL	G_ICMP	generated	revisit	i32,i64	-	Legal	0	-	86	0.003322
TOTAL	G_SELECT	initial	first	i64,i1	-	WidenScalar	1	i32	85	0.003283
TOTAL	G_LOAD	initial	first	i32,p0	s32@8@not_atomic@not_atomic	Legal	0	-	84	0.003245
TOTAL	G_MUL	initial	revisit	i64	-	Legal	0	-	84	0.003245
TOTAL	G_UMULH	generated	first	i64	-	Legal	0	-	84	0.003245
TOTAL	G_UMULO	initial	first	i64,i1	-	Lower	0	-	84	0.003245
TOTAL	G_STORE	initial	first	i32,p0	s32@32@not_atomic@not_atomic	Legal	0	-	78	0.003013
TOTAL	G_STORE	initial	first	i16,p0	i16@8@not_atomic@not_atomic	Legal	0	-	77	0.002974
TOTAL	G_XOR	initial	first	i1	-	WidenScalar	0	i32	77	0.002974
TOTAL	G_STORE	initial	first	i32,p0	s32@8@not_atomic@not_atomic	Legal	0	-	76	0.002936
TOTAL	G_TRUNC	generated	first	i8,i16	-	Legal	0	-	76	0.002936
TOTAL	G_BRJT	initial	first	p0,i64	-	Legal	0	-	75	0.002897
TOTAL	G_JUMP_TABLE	initial	first	p0	-	Legal	0	-	75	0.002897
TOTAL	G_MEMSET	initial	first	p0,i8,i64	s8@8@not_atomic@not_atomic	Libcall	0	-	75	0.002897
TOTAL	G_SUB	generated	first	i64	-	Legal	0	-	75	0.002897
TOTAL	G_LOAD	initial	first	i32,p0	s32@32@not_atomic@not_atomic	Legal	0	-	73	0.002820
TOTAL	G_MUL	generated	first	i64	-	Legal	0	-	70	0.002704
TOTAL	G_SITOFP	initial	first	f32,i64	-	Legal	0	-	70	0.002704
TOTAL	G_FNEG	initial	first	f64	-	Legal	0	-	67	0.002588
TOTAL	G_ADD	initial	first	i8	-	WidenScalar	0	i32	66	0.002549
TOTAL	G_CONSTANT	initial	first	s64	-	Legal	0	-	66	0.002549
TOTAL	G_PTR_ADD	initial	first	p0,s64	-	Legal	0	-	66	0.002549
TOTAL	G_SITOFP	initial	first	f64,i64	-	Legal	0	-	64	0.002472
TOTAL	G_ANYEXT	generated	first	i64,i32	-	Legal	0	-	61	0.002356
TOTAL	G_UDIV	generated	first	i64	-	Legal	0	-	61	0.002356
TOTAL	G_UREM	initial	first	i64	-	Lower	0	-	61	0.002356
TOTAL	G_STORE	initial	first	f128,p0	s128@16@not_atomic@not_atomic	Legal	0	-	60	0.002318
TOTAL	G_LOAD	initial	first	i16,p0	s16@8@not_atomic@not_atomic	Legal	0	-	59	0.002279
TOTAL	G_ZEXTLOAD	initial	first	i32,p0	i16@8@not_atomic@not_atomic	Legal	0	-	56	0.002163
TOTAL	G_MEMMOVE	initial	first	p0,p0,i64	s8@8@not_atomic@not_atomic,s8@8@not_atomic@not_atomic	Libcall	0	-	55	0.002124
TOTAL	G_STORE	initial	first	i16,p0	s16@8@not_atomic@not_atomic	Legal	0	-	55	0.002124
TOTAL	G_STORE	initial	first	i64,p0	i64@32@not_atomic@not_atomic	Legal	0	-	55	0.002124
TOTAL	G_PHI	initial	first	f64	-	Legal	0	-	51	0.001970
TOTAL	G_LOAD	initial	first	f128,p0	s128@16@not_atomic@not_atomic	Legal	0	-	50	0.001931
TOTAL	G_STORE	initial	first	i32,p0	s32@16@not_atomic@not_atomic	Legal	0	-	48	0.001854
TOTAL	G_STORE	initial	first	i32,p0	s32@64@not_atomic@not_atomic	Legal	0	-	48	0.001854
TOTAL	G_LOAD	initial	first	i32,p0	s32@64@not_atomic@not_atomic	Legal	0	-	47	0.001815
TOTAL	G_MEMCPY	initial	first	p0,p0,i64	s8@16@not_atomic@not_atomic,s8@16@not_atomic@not_atomic	Libcall	0	-	47	0.001815
TOTAL	G_ZEXTLOAD	initial	first	i64,p0	s8@32@not_atomic@not_atomic	Legal	0	-	47	0.001815
TOTAL	G_LOAD	initial	first	i32,p0	s32@16@not_atomic@not_atomic	Legal	0	-	46	0.001777
TOTAL	G_STORE	initial	revisit	i8,p0	i8@32@not_atomic@not_atomic	Legal	0	-	46	0.001777
TOTAL	G_FABS	initial	first	f32	-	Legal	0	-	42	0.001622
TOTAL	G_LOAD	initial	first	i8,p0	i8@64@acquire@not_atomic	Legal	0	-	41	0.001584
TOTAL	G_LOAD	initial	first	i32,p0	i16@64@not_atomic@not_atomic	Legal	0	-	40	0.001545
TOTAL	G_MEMMOVE	initial	first	p0,p0,i64	s8@64@not_atomic@not_atomic,s8@64@not_atomic@not_atomic	Libcall	0	-	39	0.001506
TOTAL	G_LOAD	initial	first	f128,p0	f128@128@not_atomic@not_atomic	Legal	0	-	37	0.001429
TOTAL	G_SEXTLOAD	initial	first	i64,p0	i8@8@not_atomic@not_atomic	Legal	0	-	37	0.001429
TOTAL	G_LOAD	initial	first	i64,p0	i64@32@not_atomic@not_atomic	Legal	0	-	34	0.001313
TOTAL	G_MEMSET	initial	first	p0,i8,i64	s8@32@not_atomic@not_atomic	Libcall	0	-	32	0.001236
TOTAL	G_LOAD	initial	first	f128,p0	s128@8@not_atomic@not_atomic	Legal	0	-	31	0.001197
TOTAL	G_SEXTLOAD	initial	first	i32,p0	i16@32@not_atomic@not_atomic	Legal	0	-	31	0.001197
TOTAL	G_STORE	initial	first	i32,p0	i32@128@not_atomic@not_atomic	Legal	0	-	28	0.001082
TOTAL	G_ZEXTLOAD	initial	first	i32,p0	s8@64@not_atomic@not_atomic	Legal	0	-	28	0.001082
TOTAL	G_TRUNC	initial	first	i8,i16	-	Legal	0	-	27	0.001043
TOTAL	G_FFLOOR	initial	first	f64	-	Legal	0	-	26	0.001004
TOTAL	G_LOAD	initial	first	i32,p0	i8@64@not_atomic@not_atomic	Legal	0	-	26	0.001004
TOTAL	G_SELECT	initial	revisit	f32,i32	-	Legal	0	-	26	0.001004
TOTAL	G_XOR	initial	first	i64	-	Legal	0	-	26	0.001004
TOTAL	G_ZEXTLOAD	initial	first	i64,p0	i16@32@not_atomic@not_atomic	Legal	0	-	26	0.001004
TOTAL	G_LOAD	initial	first	i64,p0	i64@8@not_atomic@not_atomic	Legal	0	-	25	0.000966
